number,theme,uptheme
0,Адреса офисов и банкоматов,0
1,Акции,1
2,Блокировка карты,2
3,Вам звонили,3
4,Вклад,4
5,Действующий кредит,6
6,Денежные переводы,5
7,Задолженность,6
8,Интернет банк,3
9,Карты,2
10,Кредит,6
11,Кредитные карты,7
12,Курс доллара,5
13,Курс евро,5
14,Курсы валют,5
15,Мобильный банк,3
16,Не работает банкомат,0
17,Обслуживание вкладов,4
18,Обслуживание карт,2
19,Обслуживание кредитных карт,7
20,Открыте вклада,4
21,Перевод на оператора,3
22,Платежное поручение,8
23,Получение карты,2
24,Получения кредита,6
25,Пос терминал,0
26,Претензии,1
27,Приветствие,1
28,Продажа кредитных карт,7
29,Процентные ставки,8
30,Расчетно кассовое обслуживание,0
31,Расчетный счет,4
32,Реквизиты банка,8
33,Физические лица,1
34,Эквайринг,1
35,Юридические лица,1
